municipios,Extensión  km²
Abejorral,497
Abriaquí,293
Alejandría,151
Amagá,85
Amalfi,1224
Andes,449
Angelópolis,87
Angostura,392
Anorí,1447
Anzá,256
Apartadó,607
Arboletes,718
Argelia,257
Armenia,111
Barbosa,208
Bello,151
Belmira,279
Betania,170
Betulia,255
Briceño,406
Buriticá,368
Cáceres,1996
Caicedo,224
Caldas,152
Campamento,206
Cañasgordas,396
Caracolí,263
Caramanta,87
Carepa,384
Carolina del Príncipe,168
Caucasia,1058
Chigorodó,615
Cisneros,47
Ciudad Bolívar,285
Cocorná,221
Concepción,169
Concordia,234
Copacabana,71
Dabeiba,1883
Donmatías,183
Ebéjico,238
El Bagre,1951
El Carmen de Viboral,453
El Peñol,145
El Retiro,273
El Santuario,76
Entrerríos,222
Envigado,51
Fredonia,250
Frontino,1236
Giraldo,97
Girardota,78
Gómez Plata,364
Granada,185
Guadalupe,88
Guarne,153
Guatapé,70
Heliconia,118
Hispania,59
Itagüí,17
Ituango,2345
Jardín,227
Jericó,195
La Ceja del Tambo,131
La Estrella,35
La Pintada ,55
La Unión,200
Liborina,220
Maceo,431
Marinilla,116
Medellín,387
Montebello,86
Murindó,1365
Mutatá,1106
Nariño,317
Nechí,925
Necoclí,1377
Olaya,91
Peque,397
Pueblorrico,86
Puerto Berrío,1198
Puerto Nare,668
Puerto Triunfo,365
Remedios,2008
Rionegro,198
Sabanalarga,268
Sabaneta,15
Salgar,423
San Andrés de Cuerquia ,179
San Carlos,719
San Francisco,372
San Jerónimo,157
San José de la Montaña,135
San Juan de Urabá,241
San Luis,458
San Pedro de los Milagros,232
San Pedro de Urabá,482
San Rafael,366
San Roque,441
San Vicente Ferrer ,246
Santa Bárbara,188
Santa Fe de Antioquia,812
Santa Rosa de Osos,822
Santo Domingo,274
Segovia,1246
Sonsón,1334
Sopetrán,226
Támesis,246
Tarazá,1565
Tarso,120
Titiribí,144
Toledo,141
Turbo,3090
Uramita,239
Urrao,2556
Valdivia,545
Valparaíso,132
Vegachí,512
Venecia,143
Vigía del Fuerte,1780
Yalí,447
Yarumal,724
Yolombó,941
Yondó,1881
Zaragoza,1064
